typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","0","W00","World","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4566278","false","-1","N/A",,"false","3775969","true",,"false",,"2095547633","2095547633","4","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10506","false","-1","N/A",,"false","3631","false",,"false",,"318270","318270","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","20","AND","Andorra","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13462","false","-1","N/A",,"false","10006","false",,"false",,"938769","938769","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","24","AGO","Angola","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","97","false","-1","N/A",,"false","211","false",,"false",,"26531","26531","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","28","ATG","Antigua and Barbuda","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","358","false","-1","N/A",,"false","188","false",,"false",,"28322","28322","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","31","AZE","Azerbaijan","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4383","false","-1","N/A",,"false","2681","false",,"false",,"485786","485786","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","32","ARG","Argentina","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","109","false","-1","N/A",,"false","213","false",,"false",,"416128","416128","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","36","AUS","Australia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","27376","false","-1","N/A",,"false","36228","false",,"false",,"12126087","12126087","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","40","AUT","Austria","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","36605","false","-1","N/A",,"false","28606","false",,"false",,"23171566","23171566","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","48","BHR","Bahrain","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1861","false","-1","N/A",,"false","1611","false",,"false",,"1578705","1578705","0","true","false",
